sku,barcode,product_name,brand,category,subcategory,volume_ml,pack_size,alcohol_pct,standard_drinks,current_price,cost_price,rsa_floor_price,region,country,active,product_url,image_url,thumbnail_url
DM-001001,9300650001011,Victoria Bitter 24 x 375mL Bottles,Victoria Bitter,beer,Lager,375,24,4.9,34.8,52.0,38.0,39.9,Victoria,Australia,True,https://www.danmurphys.com.au/product/victoria-bitter-24-x-375ml-bottles-dm-001001,https://media.danmurphys.com.au/dmo/product/DM-001001-1.png,https://media.danmurphys.com.au/dmo/product/DM-001001-thumb.png
DM-001002,9300650001028,Carlton Draught 24 x 375mL Bottles,Carlton Draught,beer,Lager,375,24,4.6,32.7,51.0,37.5,39.38,Victoria,Australia,True,https://www.danmurphys.com.au/product/carlton-draught-24-x-375ml-bottles-dm-001002,https://media.danmurphys.com.au/dmo/product/DM-001002-1.png,https://media.danmurphys.com.au/dmo/product/DM-001002-thumb.png
DM-001003,9300650001035,James Boag's Premium Lager 6 x 375mL Bottles,James Boag's,beer,Premium Lager,375,6,5.0,8.9,18.0,13.0,13.65,Tasmania,Australia,True,https://www.danmurphys.com.au/product/james-boags-premium-lager-6-x-375ml-bottles-dm-001003,https://media.danmurphys.com.au/dmo/product/DM-001003-1.png,https://media.danmurphys.com.au/dmo/product/DM-001003-thumb.png
DM-001004,9300650001042,Coopers Pale Ale 6 x 375mL Bottles,Coopers,beer,Pale Ale,375,6,4.5,8.0,17.5,12.8,13.44,South Australia,Australia,True,https://www.danmurphys.com.au/product/coopers-pale-ale-6-x-375ml-bottles-dm-001004,https://media.danmurphys.com.au/dmo/product/DM-001004-1.png,https://media.danmurphys.com.au/dmo/product/DM-001004-thumb.png
DM-001005,9300650001059,Great Northern Original 24 x 330mL Bottles,Great Northern,beer,Lager,330,24,4.2,26.3,49.0,36.0,37.8,Queensland,Australia,True,https://www.danmurphys.com.au/product/great-northern-original-24-x-330ml-bottles-dm-001005,https://media.danmurphys.com.au/dmo/product/DM-001005-1.png,https://media.danmurphys.com.au/dmo/product/DM-001005-thumb.png
DM-001006,9300650001066,XXXX Gold 24 x 375mL Cans,XXXX,beer,Mid-Strength Lager,375,24,3.5,24.9,46.0,33.5,35.18,Queensland,Australia,True,https://www.danmurphys.com.au/product/xxxx-gold-24-x-375ml-cans-dm-001006,https://media.danmurphys.com.au/dmo/product/DM-001006-1.png,https://media.danmurphys.com.au/dmo/product/DM-001006-thumb.png
DM-001007,9300650001073,Tooheys New 24 x 375mL Bottles,Tooheys,beer,Lager,375,24,4.6,32.7,50.0,36.5,38.33,New South Wales,Australia,True,https://www.danmurphys.com.au/product/tooheys-new-24-x-375ml-bottles-dm-001007,https://media.danmurphys.com.au/dmo/product/DM-001007-1.png,https://media.danmurphys.com.au/dmo/product/DM-001007-thumb.png
DM-001008,9300650001080,Crown Lager 6 x 375mL Bottles,Crown Lager,beer,Premium Lager,375,6,4.9,8.7,19.0,14.0,14.7,Victoria,Australia,True,https://www.danmurphys.com.au/product/crown-lager-6-x-375ml-bottles-dm-001008,https://media.danmurphys.com.au/dmo/product/DM-001008-1.png,https://media.danmurphys.com.au/dmo/product/DM-001008-thumb.png
DM-001009,9300650001097,Hahn SuperDry 24 x 330mL Bottles,Hahn,beer,Low Carb Lager,330,24,4.6,28.8,48.0,35.0,36.75,New South Wales,Australia,True,https://www.danmurphys.com.au/product/hahn-superdry-24-x-330ml-bottles-dm-001009,https://media.danmurphys.com.au/dmo/product/DM-001009-1.png,https://media.danmurphys.com.au/dmo/product/DM-001009-thumb.png
DM-001010,9300650001104,Heineken 24 x 330mL Bottles,Heineken,beer,Import Lager,330,24,5.0,31.3,55.0,40.0,42.0,,Netherlands,True,https://www.danmurphys.com.au/product/heineken-24-x-330ml-bottles-dm-001010,https://media.danmurphys.com.au/dmo/product/DM-001010-1.png,https://media.danmurphys.com.au/dmo/product/DM-001010-thumb.png
DM-001011,9300650001111,Corona Extra 24 x 355mL Bottles,Corona,beer,Import Lager,355,24,4.5,30.3,56.0,41.0,43.05,,Mexico,True,https://www.danmurphys.com.au/product/corona-extra-24-x-355ml-bottles-dm-001011,https://media.danmurphys.com.au/dmo/product/DM-001011-1.png,https://media.danmurphys.com.au/dmo/product/DM-001011-thumb.png
DM-001012,9300650001128,Peroni Nastro Azzurro 6 x 330mL Bottles,Peroni,beer,Import Lager,330,6,5.1,8.0,16.0,11.5,12.08,,Italy,True,https://www.danmurphys.com.au/product/peroni-nastro-azzurro-6-x-330ml-bottles-dm-001012,https://media.danmurphys.com.au/dmo/product/DM-001012-1.png,https://media.danmurphys.com.au/dmo/product/DM-001012-thumb.png
DM-001013,9300650001135,Balter XPA 6 x 375mL Cans,Balter,beer,XPA,375,6,5.0,8.9,22.0,16.0,16.8,Queensland,Australia,True,https://www.danmurphys.com.au/product/balter-xpa-6-x-375ml-cans-dm-001013,https://media.danmurphys.com.au/dmo/product/DM-001013-1.png,https://media.danmurphys.com.au/dmo/product/DM-001013-thumb.png
DM-001014,9300650001142,Stone & Wood Pacific Ale 6 x 330mL Cans,Stone & Wood,beer,Pacific Ale,330,6,4.4,6.9,21.0,15.5,16.28,New South Wales,Australia,True,https://www.danmurphys.com.au/product/stone-and-wood-pacific-ale-6-x-330ml-cans-dm-001014,https://media.danmurphys.com.au/dmo/product/DM-001014-1.png,https://media.danmurphys.com.au/dmo/product/DM-001014-thumb.png
DM-001015,9300650001159,Young Henrys Newtowner 6 x 375mL Cans,Young Henrys,beer,Pale Ale,375,6,4.8,8.5,20.0,14.5,15.23,New South Wales,Australia,True,https://www.danmurphys.com.au/product/young-henrys-newtowner-6-x-375ml-cans-dm-001015,https://media.danmurphys.com.au/dmo/product/DM-001015-1.png,https://media.danmurphys.com.au/dmo/product/DM-001015-thumb.png
DM-002001,9310004002011,Penfolds Bin 389 Cabernet Shiraz 750mL,Penfolds,wine,Cabernet Shiraz,750,1,14.5,8.6,45.0,32.0,33.6,South Australia,Australia,True,https://www.danmurphys.com.au/product/penfolds-bin-389-cabernet-shiraz-750ml-dm-002001,https://media.danmurphys.com.au/dmo/product/DM-002001-1.png,https://media.danmurphys.com.au/dmo/product/DM-002001-thumb.png
DM-002002,9310004002028,Yellow Tail Shiraz 750mL,Yellow Tail,wine,Shiraz,750,1,13.5,8.0,9.0,5.5,5.78,New South Wales,Australia,True,https://www.danmurphys.com.au/product/yellow-tail-shiraz-750ml-dm-002002,https://media.danmurphys.com.au/dmo/product/DM-002002-1.png,https://media.danmurphys.com.au/dmo/product/DM-002002-thumb.png
DM-002003,9310004002035,Jacob's Creek Classic Chardonnay 750mL,Jacob's Creek,wine,Chardonnay,750,1,12.5,7.4,10.0,6.0,6.3,South Australia,Australia,True,https://www.danmurphys.com.au/product/jacobs-creek-classic-chardonnay-750ml-dm-002003,https://media.danmurphys.com.au/dmo/product/DM-002003-1.png,https://media.danmurphys.com.au/dmo/product/DM-002003-thumb.png
DM-002004,9310004002042,Oyster Bay Sauvignon Blanc 750mL,Oyster Bay,wine,Sauvignon Blanc,750,1,13.0,7.7,14.0,9.5,9.97,Marlborough,New Zealand,True,https://www.danmurphys.com.au/product/oyster-bay-sauvignon-blanc-750ml-dm-002004,https://media.danmurphys.com.au/dmo/product/DM-002004-1.png,https://media.danmurphys.com.au/dmo/product/DM-002004-thumb.png
DM-002005,9310004002059,Penfolds Koonunga Hill Shiraz Cabernet 750mL,Penfolds,wine,Shiraz Cabernet,750,1,14.0,8.3,13.0,8.5,8.93,South Australia,Australia,True,https://www.danmurphys.com.au/product/penfolds-koonunga-hill-shiraz-cabernet-750ml-dm-002005,https://media.danmurphys.com.au/dmo/product/DM-002005-1.png,https://media.danmurphys.com.au/dmo/product/DM-002005-thumb.png
DM-002006,9310004002066,19 Crimes Red Blend 750mL,19 Crimes,wine,Red Blend,750,1,13.5,8.0,12.0,7.5,7.88,South Australia,Australia,True,https://www.danmurphys.com.au/product/19-crimes-red-blend-750ml-dm-002006,https://media.danmurphys.com.au/dmo/product/DM-002006-1.png,https://media.danmurphys.com.au/dmo/product/DM-002006-thumb.png
DM-002007,9310004002073,De Bortoli Sacred Hill Cabernet Merlot 750mL,De Bortoli,wine,Cabernet Merlot,750,1,13.0,7.7,8.0,4.8,5.04,New South Wales,Australia,True,https://www.danmurphys.com.au/product/de-bortoli-sacred-hill-cabernet-merlot-750ml-dm-002007,https://media.danmurphys.com.au/dmo/product/DM-002007-1.png,https://media.danmurphys.com.au/dmo/product/DM-002007-thumb.png
DM-002008,9310004002080,Wolf Blass Yellow Label Cabernet Sauvignon 750mL,Wolf Blass,wine,Cabernet Sauvignon,750,1,14.0,8.3,12.5,8.0,8.4,South Australia,Australia,True,https://www.danmurphys.com.au/product/wolf-blass-yellow-label-cabernet-sauvignon-750ml-dm-002008,https://media.danmurphys.com.au/dmo/product/DM-002008-1.png,https://media.danmurphys.com.au/dmo/product/DM-002008-thumb.png
DM-002009,9310004002097,Kim Crawford Sauvignon Blanc 750mL,Kim Crawford,wine,Sauvignon Blanc,750,1,13.0,7.7,16.0,11.0,11.55,Marlborough,New Zealand,True,https://www.danmurphys.com.au/product/kim-crawford-sauvignon-blanc-750ml-dm-002009,https://media.danmurphys.com.au/dmo/product/DM-002009-1.png,https://media.danmurphys.com.au/dmo/product/DM-002009-thumb.png
