No.,Category,Requirement,Priority,Description,Assessment Criteria,Internal / Tool,,,,,,
1,BOT CONVERSATION & NLP,,,,,,Effort Driver,Cost Driver,Initial Comment,,,
,1.1,Detect LLPG intent,M,"When customer initiates the price beat, bot identifies price‑beat intent. The tool shall expose an intent‑classification API returning structured intent labels for bot routing.",Accuracy of NLP classification; API response quality.,Tool,,,,,,
,1.2,Guided prompts for unclear intent,M,Bot prompts customer when info missing. The tool shall return confidence flags enabling bot to trigger guidance.,Confidence signalling; API clarity.,Tool,,,,,,
,1.3,Updated LLPG knowledge base,M,Ability to configure and change the LLPG rules when needed,Ease of updating content; version control.,Tool,,,,,,
,1.4.1,"Accepts 
- URLs, 
- price inputs through text,
",M,"External tool accepts evidence payloads from bot (URL, image ref, coupon code) and returns validated outputs. The types is negotiable - vendor to advise on possibility. Accepts non-personalised target ad",Validation capability; API handling.,Tool,,,,,,
,1.4.2,"Accepts 
- screenshot of price from the website, 
- Tik Tok, 
- Facebook ads,
- digital catalogue,
- coupon codes for coupon based discounts",M,"External tool accepts evidence payloads from bot (URL, image ref, coupon code) and returns validated outputs. The types is negotiable - vendor to advise on possibility. Accepts non-personalised target ad",Validation capability; API handling.,Tool,,,,,,
,1.5,Tone & compliance messaging,S,External tool returns compliant response templates for bot display. - Does our bot have this capabity ?,Messaging quality; template update ease.,Tool / Internal,,,,,,
2,COMPETITOR URL VALIDATION & SCRAPING,,,,,,,,,,,
,2.1,Real‑time scraping,S,"Scraping API returns structured product data when bot sends competitor URL. If there is an option to do Batch, Realtime and Hybrid. Quotes needed fro all.",dynamic pricing reliability.,Tool,,,,,,
,2.2,Increased Batch scraping,M,,,,,,,,,
,2.3,Hybrid,M,If custoner is not happy with Batch scrape result then the tool shall do a real time scrape,,,,,,,,
,2.4,Extracts full product attributes,M,"Identify and return brand, variant, ABV, pack size, GTIN in aligned schema.",Accuracy vs catalogue; schema completeness.,Tool,,,,,,
,2.5,Extracts price stock promo type,M,"Returns price, availability, promo structure for bot rules.",Reliability; promo detection.,Tool,,,,,,
,2.6,Retailer allow‑list support,M,Expose allow‑list service tool uses to validate retailer eligibility. Must be configurable,Configurable allow‑list; accuracy.,Tool,,,,,,
,2.8,Promo interpretation,M,"Handles complex promotions
- Direct product promo
- multi‑buy, 
- sitewide %, 
- Spend and get $ off
- Spend and Get Delivery off
- Coupon based discounts
- Any non targetted comp promos",Coverage of complex promo mechanics.,Tool,,,,,,
,2.9,Failure fallback,M,Returns actionable error codes enabling bot escalation to CHUB with history.,Error consistency and clarity.,Tool,,,,,,
,2.1,Anti-Fraud Integrity Check,S,"Detect if the displayed price is client-side editable (e.g., user inspecting code to change price) or if the site lacks e-commerce integrity.",Capability to validate server-side price vs. displayed price.,Tool,,,,,,
,2.11,Coupon Code Application,C for MVP,Must be able to apply a customer-provided coupon code at the competitor checkout to verify the final price.,Ability to input codes during scrape session to reveal hidden prices.,Tool,,,,,,
,2.12,Multiple URL Assessment,S,Ability to ingest multiple competitor URLs for a single request and identify the lowest eligible price among them.,"Logic to process >1 URL and select ""best beat"" for the customer.",Tool,,,,,,
3,,LLPG RULE ENGINE,,,,,,,,,,
,3.1,Full LLPG rule application,M,Returns rule‑level pass/fail or full decision payload for bot approval/denial.,Rule coverage and accuracy.,Tool,,,,,,
,3.2,Configurable Radius Logic,C,Radius rule (10km) must be configurable (On/Off toggle) as this rule is currently suspended but may revert. This means if a competitor price is applicable only to 10 km radius,Admin toggle for geo-fencing rules without code changes.,Tool,,,,,,
,3.3,Rejects excluded retailers,M,Returns explicit rule‑fail flags for excluded retailer types.,Automated enforcement accuracy.,Tool,,,,,,
,3.4,Normalised unit price,M,"Returns calculated normalised unit price.

Even if the comp has cart level discounts that has to be translated to the product level and sent through",Calculation accuracy.,Tool,,,,,,
,3.5,Determines beat price,M,"Returns beat price for bot to apply. Configurable
50c when under a certain value

$1 over a certain value 

% off for a particular value - TBD wwhere this sits",Configurable formula accuracy.,Tool,,,,,,
,3.6,RSA compliance,S,Returns RSA compliance flags for bot messaging. Ex - Floor price below which the alc cannot be sold - TBC,Flexibility and enforcement.,Tool,,,,,,
,3.7,Retail product limits,S,Returns product‑limit (configurable in the tool) results for bot enforcement. - TBC Lies within DM,Integration with catalogue; accuracy.,Tool,,,,,,
,3.8,Fraud control,M,Exposes risk‑scoring flags to bot for reporting and also for bot routing to humans,Built‑in throttling; control quality.,Tool,,,,,,
,3.9,"""Stock-for-Stock"" Quantity Matching",M,"Rule engine must cap the price-beat quantity to match the competitor's available stock (e.g., if competitor has 1, we only beat 1). Check has to be made any store in the country.",Logic to read competitor stock level and apply limit to the Dan's cart.,Tool,,,,,,
,3.1,Promo Limit,M,"If the competitor has the promo applied only for 2 qtys, we apply the price beat only for 2",,Tool,,,,,,
,3.11,Delivery Fee Logic Separation,M,"Engine must exclude delivery fees from the price comparison unless a specific ""Free Delivery"" threshold promo is met.(Only Spend and have delivery free)",Ability to distinguish Product Price vs. Delivery Cost in scraping.,Tool,,,,,,
,3.12,Vintage & Visual Matching,M,"Strict matching for wine vintages and visual label cues (e.g., Baseline vs. Premium labels).",OCR or Image recognition capabilities for label validation; Vintage field extraction.,Tool,,,,,,
,3.13,Lightning Sale Time Validation,M,"The tool must validate if a ""Lightning Sale"" or ""Happy Hour"" is currently active at the exact time of processing.",Real-time timestamp validation during scrape.,Tool,,,,,,
,3.14,Competitor Member discount identification,M,The tool shall check if the competitor price is only for a member and not apply the price beat if so,,Tool,,,,,,
,3.15,Clearance comp promos,M,Ability to identify and respond with relevant messages when it is a clearance product at the competitor,,Tool,,,,,,
4,CHUB ESCALATION & AGENT TOOLS,,,,,,,,,,,
,4.1,Automatic escalation to CHUB,M,The tool sends escalation payload to the bot including decision summary.,Smooth handover; context completeness.,Tool,,,,,,
,4.2,Full context for agents,M,Vendor structures transcript/decision summary for bot → agent transfer.,Visibility and clarity.,Tool,,,,,,
,4.3,Return to bot post-agent,C,Tool provides callback/event so bot resumes post‑agent.,Re‑entry integration quality.,Tool,,,,,,
,4.4,Senses customer frustration or delays,M,The tool shall transfer to the Human agents with history,,Tool,,,,,,
7,"AUDIT, LOGGING & COMPLIANCE",,,,,,,,,,,
,7.1,Audit trail capture,M,"Returns competitor, SKU, price, rule decisions for bot audit logs.",Completeness and consistency.,Tool,,,,,,
,7.2,Decision traceability,M,Returns rule‑level JSON trace for audits.,Clarity and usefulness.,Tool,,,,,,
,7.3,Reporting integration,S,Supports export/webhook reporting for bot analytics.,Compatibility and ease.,Tool,,,,,,
,7.4,Fraud pattern analytics,S,Supplies anomaly indicators for bot risk mitigation.,ML/rule quality.,Tool,,,,,,
8,PERFORMANCE & SCALABILITY,,,,,,,,,,,
,8.1,Scrape + decision < 3–6 sec,M,Vendor API responds within SLA for real‑time bot conversation. Time range to be suggested by the vendor,Latency and SLA adherence.,Tool,,,,,,
,8.2,Peak seasonal capacity,M,Vendor supports Christmas/peak load triggered by bot traffic.,Scaling capability.,Tool,,,,,,
,8.3,Concurrent LLPG handling,M,Vendor handles concurrent requests from bot without queueing.,Throughput and stress results.,Tool,,,,,,
9,MAINTAINABILITY & CHANGE MANAGEMENT,,,,,,,,,,,
